Training Logs of RCNN

=========Starting Training==========
 Epoch  |  Train Loss  |  Val Loss  |  Val Acc  |  Elapsed 
------------------------------------------------------------
Validation loss decreased (inf --> 0.565320).  Saving model ...
Validation loss decreased (0.245820 --> 0.243529).  Saving model ...
  17    |   0.265328   |  0.243529  |   89.76   |  287.60  
Validation loss decreased (0.243529 --> 0.241810).  Saving model ...
  18    |   0.263134   |  0.241810  |   89.78   |  300.36  
Validation loss decreased (0.241810 --> 0.239903).  Saving model ...
  19    |   0.260034   |  0.239903  |   89.84   |  304.39  
Validation loss decreased (0.239903 --> 0.238395).  Saving model ...
  20    |   0.257219   |  0.238395  |   89.90   |  301.60  
Validation loss decreased (0.238395 --> 0.236801).  Saving model ...
  21    |   0.254887   |  0.236801  |   89.95   |  301.43  
Validation loss decreased (0.236801 --> 0.235467).  Saving model ...
  22    |   0.252439   |  0.235467  |   89.97   |  299.97  
Validation loss decreased (0.235467 --> 0.234518).  Saving model ...
  23    |   0.250149   |  0.234518  |   90.00   |  300.36  
Validation loss decreased (0.234518 --> 0.233174).  Saving model ...
  24    |   0.248559   |  0.233174  |   90.08   |  301.16  
Validation loss decreased (0.233174 --> 0.232145).  Saving model ...
  25    |   0.246599   |  0.232145  |   90.07   |  301.02  
Validation loss decreased (0.232145 --> 0.231089).  Saving model ...
  26    |   0.244669   |  0.231089  |   90.13   |  299.18  
Validation loss decreased (0.231089 --> 0.230608).  Saving model ...
  27    |   0.243082   |  0.230608  |   90.19   |  302.26  
Validation loss decreased (0.230608 --> 0.229571).  Saving model ...
  28    |   0.240990   |  0.229571  |   90.23   |  297.89  
Validation loss decreased (0.229571 --> 0.228979).  Saving model ...
  29    |   0.239538   |  0.228979  |   90.26   |  303.99  
Validation loss decreased (0.228979 --> 0.228210).  Saving model ...
  30    |   0.237802   |  0.228210  |   90.28   |  306.93  
Validation loss decreased (0.228210 --> 0.227487).  Saving model ...
  31    |   0.236445   |  0.227487  |   90.33   |  307.74  
Validation loss decreased (0.227487 --> 0.226620).  Saving model ...
  32    |   0.234567   |  0.226620  |   90.28   |  306.23  
Validation loss decreased (0.226620 --> 0.226078).  Saving model ...
  33    |   0.233436   |  0.226078  |   90.33   |  307.61  
Validation loss decreased (0.226078 --> 0.225657).  Saving model ...
  34    |   0.232768   |  0.225657  |   90.34   |  305.53  
Validation loss decreased (0.225657 --> 0.225096).  Saving model ...
  35    |   0.230899   |  0.225096  |   90.35   |  302.98  
Validation loss decreased (0.225096 --> 0.224368).  Saving model ...
  36    |   0.229644   |  0.224368  |   90.39   |  302.73  
Validation loss decreased (0.224368 --> 0.223853).  Saving model ...
  37    |   0.228759   |  0.223853  |   90.37   |  302.61  
EarlyStopping counter: 1 out of 3
  38    |   0.227732   |  0.223897  |   90.41   |  300.77  
EarlyStopping counter: 2 out of 3
  39    |   0.226458   |  0.223986  |   90.42   |  305.84  
Validation loss decreased (0.223853 --> 0.222667).  Saving model ...
  40    |   0.225532   |  0.222667  |   90.46   |  306.14  
EarlyStopping counter: 1 out of 3
  41    |   0.224055   |  0.222678  |   90.48   |  302.58  
Validation loss decreased (0.222667 --> 0.222293).  Saving model ...
  42    |   0.223556   |  0.222293  |   90.44   |  302.61  
Validation loss decreased (0.222293 --> 0.221837).  Saving model ...
  43    |   0.222830   |  0.221837  |   90.48   |  301.45  
Validation loss decreased (0.221837 --> 0.221313).  Saving model ...
  44    |   0.221474   |  0.221313  |   90.52   |  301.51  
EarlyStopping counter: 1 out of 3
  45    |   0.220910   |  0.221357  |   90.55   |  298.56  
Validation loss decreased (0.221313 --> 0.221196).  Saving model ...
  46    |   0.220449   |  0.221196  |   90.51   |  293.68  
Validation loss decreased (0.221196 --> 0.220938).  Saving model ...
  47    |   0.218483   |  0.220938  |   90.53   |  422.79  
Validation loss decreased (0.220938 --> 0.220137).  Saving model ...
  48    |   0.217962   |  0.220137  |   90.56   |  302.44  
Validation loss decreased (0.220137 --> 0.220048).  Saving model ...
  49    |   0.217487   |  0.220048  |   90.60   |  308.13  
Validation loss decreased (0.220048 --> 0.219894).  Saving model ...
  50    |   0.216298   |  0.219894  |   90.58   |  309.19  


==========Best Accuracy After training================ 90.60465240478516
